Time[s], TX, RX, Dir, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7
14.401930000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.402030000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.402080000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.402240000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.402340000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.402400000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.403350000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.403400000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.403450000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.403820000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.403880000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.403980000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.404030000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.404350000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.405330000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.405390000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.405440000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.405590000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.405700000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.405800000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.419510000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.420440000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.421610000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.421820000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.421870000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.421920000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.421970000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.422080000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.422140000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.422190000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.422240000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.422400000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.422550000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.422610000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.423610000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.423920000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.423970000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.424080000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.425570000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.425730000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.425780000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.425830000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.425890000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.425990000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.430050000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.430070000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.431000000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.431050000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.431460000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.431610000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.431660000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.431760000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.432020000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.432190000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.432370000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.432390000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.432440000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.432490000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.432590000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.432640000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.432700000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.432750000000000, 0, 1, 0, 1, 1, 1, 1, 1
14.432850000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.432910000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.433380000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.433450000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.433710000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.433760000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.433920000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.433980000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.434170000000002, 1, 1, 1, 1, 1, 1, 1, 1
14.434190000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.434290000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.434340000000001, 0, 1, 0, 1, 1, 1, 1, 1
14.434390000000000, 1, 1, 1, 1, 1, 1, 1, 1
14.434550000000002, 0, 1, 0, 1, 1, 1, 1, 1
14.434650000000001, 1, 1, 1, 1, 1, 1, 1, 1
14.434780000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.452180000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.453110000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.454210000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.454270000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.454320000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.454480000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.454630000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.454680000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.454740000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.454850000000000, 1, 0, 1, 1, 1, 1, 1, 1
14.454900000000000, 1, 0, 0, 1, 1, 1, 1, 1
14.455160000000001, 1, 0, 1, 1, 1, 1, 1, 1
14.456170000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.456220000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.456270000000002, 1, 0, 0, 1, 1, 1, 1, 1
14.456640000000002, 1, 0, 1, 1, 1, 1, 1, 1
14.456700000000001, 1, 0, 0, 1, 1, 1, 1, 1
14.457120000000002, 1, 0, 1, 1, 1, 1, 1, 1
